Model,Make,Year,URL,Description,Image,Starting_Price,Pct_domestic_content
Integra,Acura,2023,https://www.caranddriver.com/acura/integra,Acura is relaunching the iconic Integra nameplate with a new sporty hatchback destined to go on sale as a 2023 model sometime in late 2022.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2023-acura-integra-prototype-front-2-1636681991.jpg,30000,0.64
MDX,Acura,2022,https://www.caranddriver.com/acura/mdx,"For 2022, Acura redesigned and modernized the three-row MDX with a luxurious cabin, better tech features, and the promise of a hot Type S trim.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-acura-mdx-336-edit-1611807613.jpg,48245,0.64
ILX,Acura,2022,https://www.caranddriver.com/acura/ilx,"If the thought of parking a Honda Civic in your driveway is just too lowbrow for you, consider its country club-raised cousin, the 2022 Acura ILX.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-acura-ilx-a-spec-054-source-1627596231.jpg,27545,0.55
NSX Type S,Acura,2022,https://www.caranddriver.com/acura/nsx,"If the idea of a supercar that you can drive daily is intriguing, the 2022 Acura NSX Type S makes a great option and offers enough comfort and practicality for the task.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-acura-nsx-type-s-1-1628792637.jpg,171495,0.64
RDX,Acura,2022,https://www.caranddriver.com/acura/rdx,"The 2022 Acura RDX doesn't have the same cachet as its luxury-brand classmates, but it's stylish, fun-to-drive, generously equipped, and more affordable than many rival SUVs.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-acura-rdx-pmc-edition-110-1632168502.jpg,40345,0.65
TLX,Acura,2022,https://www.caranddriver.com/acura/tlx,"The stylish Acura TLX sedan puts sportiness before luxuriousness, and its communicative driving traits and strong value versus some luxe rivals make it an attractive proposition.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-acura-tlx-type-s-110-1626445418.jpg,38745,0.65
RLX,Acura,2020,https://www.caranddriver.com/acura/rlx,"With innumerable standard features and an NSX-derived hybrid system, the RLX is a really nice car as long as its luxury shortcomings are accepted.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-acura-rlx-mmp-1-1570640451.jpg,55925,0.0
TL,Acura,2014,https://www.caranddriver.com/acura/tl,"Acura's Ohio-built mid-size sedan may not be beautiful, but it does bring a lot of luxury and technology for the money.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2012-acura-tl-sh-awd-photo-403044-s-986x603-1557780552.jpg,36950,0.64
TSX,Acura,2014,https://www.caranddriver.com/acura/tsx,"With the small ILX sedan introduced for 2013, Acura's TSX is no longer the baby of the family.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/243496/2009-acura-tsx-photo-243505-s-986x603.jpg,31555,0.64
ZDX,Acura,2013,https://www.caranddriver.com/acura/zdx,"The 2013 model year represents the swan song year for Acura's brazenly styled ZDX luxury crossover, which shares its dirty parts with the taller, seven-seat MDX.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2010-acura-zdx-photo-315524-s-986x603-1557780901.jpg,51815,0.64
RL,Acura,2012,https://www.caranddriver.com/acura/rl,"The RL sits atop Acura's sedan lineup and is smooth, quiet, and posh, with many high-tech features.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/04q4/267353/acura-rl-photo-9212-s-original.jpg,49095,0.64
Tonale,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/tonale,"With seductive Italian styling and a potential plug-in-hybrid powertrain, the Tonale could be a compelling subcompact luxury crossover.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-alfa-romeo-tonale-1587158469.jpg,35000,0.0
