Model,Make,Year,URL,Pct_domestic_content
Integra,Acura,2023,https://www.caranddriver.com/acura/integra,0.64
MDX,Acura,2022,https://www.caranddriver.com/acura/mdx,0.64
ILX,Acura,2022,https://www.caranddriver.com/acura/ilx,0.55
NSX Type S,Acura,2022,https://www.caranddriver.com/acura/nsx,0.64
RDX,Acura,2022,https://www.caranddriver.com/acura/rdx,0.65
TLX,Acura,2021,https://www.caranddriver.com/acura/tlx,0.65
RLX,Acura,2020,https://www.caranddriver.com/acura/rlx,0.0
TL,Acura,2014,https://www.caranddriver.com/acura/tl,0.64
TSX,Acura,2014,https://www.caranddriver.com/acura/tsx,0.64
ZDX,Acura,2013,https://www.caranddriver.com/acura/zdx,0.64
RL,Acura,2012,https://www.caranddriver.com/acura/rl,0.64
Tonale,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/tonale,0.0
Giulia,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/giulia,0.0
Giulia Quadrifoglio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/giulia-quadrifoglio,0.0
Stelvio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/stelvio,0.0
Stelvio Quadrifoglio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/stelvio-quadrifoglio,0.0
4C,Alfa Romeo,2020,https://www.caranddriver.com/alfa-romeo/4c,0.0
GTV,Alfa Romeo,2021,https://www.caranddriver.com/alfa-romeo/gtv,0.12
8C,Alfa Romeo,2010,https://www.caranddriver.com/alfa-romeo/8c,0.0
Vanquish,Aston Martin,2024,https://www.caranddriver.com/aston-martin/vanquish,
DB11,Aston Martin,2022,https://www.caranddriver.com/aston-martin/db11,
DBS,Aston Martin,2022,https://www.caranddriver.com/aston-martin/dbs,
DBX,Aston Martin,2022,https://www.caranddriver.com/aston-martin/dbx,
Valkyrie,Aston Martin,2022,https://www.caranddriver.com/aston-martin/valkyrie,
Vantage,Aston Martin,2022,https://www.caranddriver.com/aston-martin/vantage,
Valhalla,Aston Martin,2024,https://www.caranddriver.com/aston-martin/valhalla,
DBS Superleggera,Aston Martin,2021,https://www.caranddriver.com/aston-martin/dbs-superleggera-2021,
Rapide,Aston Martin,2019,https://www.caranddriver.com/aston-martin/rapide,
DB9 GT,Aston Martin,2016,https://www.caranddriver.com/aston-martin/db9-gt,
Virage,Aston Martin,2012,https://www.caranddriver.com/aston-martin/virage,
One-77,Aston Martin,2011,https://www.caranddriver.com/aston-martin/one-77,
A6 e-tron,Audi,2023,https://www.caranddriver.com/audi/a6-e-tron,0.015
e-tron GT,Audi,2022,https://www.caranddriver.com/audi/e-tron-gt,0.01
e-tron / e-tron Sportback,Audi,2022,https://www.caranddriver.com/audi/e-tron,0.01
A3,Audi,2022,https://www.caranddriver.com/audi/a3,0.012857143
A4,Audi,2022,https://www.caranddriver.com/audi/a4,0.02
A4 Allroad,Audi,2022,https://www.caranddriver.com/audi/a4-allroad-quattro,0.02
A5,Audi,2022,https://www.caranddriver.com/audi/a5,0.0175
A5 Sportback,Audi,2022,https://www.caranddriver.com/audi/a5-sportback,0.0175
A6,Audi,2022,https://www.caranddriver.com/audi/a6,0.015
A6 Allroad,Audi,2022,https://www.caranddriver.com/audi/a6-allroad,0.015
A7,Audi,2022,https://www.caranddriver.com/audi/a7,0.01
