Model,Make,Year,URL,Description,Pct_domestic_content
Integra,Acura,2023,https://www.caranddriver.com/acura/integra,Acura is relaunching the iconic Integra nameplate with a new sporty hatchback destined to go on sale as a 2023 model sometime in late 2022. ,0.64
MDX,Acura,2022,https://www.caranddriver.com/acura/mdx,"For 2022, Acura redesigned and modernized the three-row MDX with a luxurious cabin, better tech features, and the promise of a hot Type S trim. ",0.64
ILX,Acura,2022,https://www.caranddriver.com/acura/ilx,"If the thought of parking a Honda Civic in your driveway is just too lowbrow for you, consider its country club-raised cousin, the 2022 Acura ILX. ",0.55
NSX Type S,Acura,2022,https://www.caranddriver.com/acura/nsx,"If the idea of a supercar that you can drive daily is intriguing, the 2022 Acura NSX Type S makes a great option and offers enough comfort and practicality for the task. ",0.64
RDX,Acura,2022,https://www.caranddriver.com/acura/rdx,"The 2022 Acura RDX doesn't have the same cachet as its luxury-brand classmates, but it's stylish, fun-to-drive, generously equipped, and more affordable than many rival SUVs. ",0.65
TLX,Acura,2022,https://www.caranddriver.com/acura/tlx,"The stylish Acura TLX sedan puts sportiness before luxuriousness, and its communicative driving traits and strong value versus some luxe rivals make it an attractive proposition. ",0.65
RLX,Acura,2020,https://www.caranddriver.com/acura/rlx,"With innumerable standard features and an NSX-derived hybrid system, the RLX is a really nice car as long as its luxury shortcomings are accepted. ",0
TL,Acura,2014,https://www.caranddriver.com/acura/tl,"Acura's Ohio-built mid-size sedan may not be beautiful, but it does bring a lot of luxury and technology for the money.",0.64
TSX,Acura,2014,https://www.caranddriver.com/acura/tsx,"With the small ILX sedan introduced for 2013, Acura's TSX is no longer the baby of the family.",0.64
ZDX,Acura,2013,https://www.caranddriver.com/acura/zdx,"The 2013 model year represents the swan song year for Acura's brazenly styled ZDX luxury crossover, which shares its dirty parts with the taller, seven-seat MDX.",0.64
RL,Acura,2012,https://www.caranddriver.com/acura/rl,"The RL sits atop Acura's sedan lineup and is smooth, quiet, and posh, with many high-tech features.",0.64
Tonale,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/tonale,"With seductive Italian styling and a potential plug-in-hybrid powertrain, the Tonale could be a compelling subcompact luxury crossover. ",0
Giulia,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/giulia,"The 2022 Alfa Romeo Giulia appeals to driving enthusiasts with its fun-to-drive personality, sonorous engine, and drop-dead gorgeous styling. ",0
Giulia Quadrifoglio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/giulia-quadrifoglio,"Despite sharing its chassis, styling, and cabin with the regular Giulia, the 2022 Alfa Romeo Giulia Quadrifoglio is a unique beast thanks to its twin-turbo V-6.",0
Stelvio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/stelvio,"The Alfa Romeo Stelvio isn't as comprehensively practical or as luxurious as the segment's best, but its pretty design and driving verve deserve kudos. ",0
Stelvio Quadrifoglio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/stelvio-quadrifoglio,The Alfa Romeo Stelvio Quadrifoglio is a high-riding crossover with a melodic 505-hp twin-turbo V-6 that somehow drives like a sports sedan. ,0
4C,Alfa Romeo,2020,https://www.caranddriver.com/alfa-romeo/4c,"Despite its shoddy interior and fussy convertible top, the Alfa Romeo 4C is one of only a handful of modern, affordable cars that make every trip feel truly special. ",0
GTV,Alfa Romeo,2021,https://www.caranddriver.com/alfa-romeo/gtv,Alfa Romeo will revive the legendary GTV nameplate with its upcoming sports coupe that is expected to deliver a seductive design and sublime driving characteristics.,0.12
8C,Alfa Romeo,2010,https://www.caranddriver.com/alfa-romeo/8c,Leading Alfa Romeo's charge back into the United States‚ to be followed by more mainstream models by 2010‚ is the achingly gorgeous 8C.,0
Vanquish,Aston Martin,2024,https://www.caranddriver.com/aston-martin/vanquish,Aston Martin is betting its front-engine legacy on a mid-engine future that includes a pair of hypercars and this next-generation Vanquish. ,
