Page ID,Page title,Page URL,Page Info URL,Page text,Redirects,Date created,Last edited date,Total edits,Recent edits,Recent authors
48239,Celestial sphere,https://en.wikipedia.org/wiki/Celestial_sphere,https://en.wikipedia.org/w/index.php?title=Celestial_sphere&action=info,"In astronomy and navigation, the celestial sphere is an abstract sphere that has an arbitrarily large radius and is concentric to Earth. All objects in the sky can be conceived as being projected upon the inner surface of the celestial sphere, which may be centered on Earth or the observer. If centered on the observer, half of the sphere would resemble a hemispherical screen over the observing location.


The celestial sphere is a practical tool for spherical astronomy, allowing astronomers to specify the apparent positions of objects in the sky if their distances are unknown or irrelevant. In the equatorial coordinate system, the celestial equator divides the celestial sphere into two halves: the northern and southern celestial hemispheres.


Because astronomical objects are at such remote distances, casual observation of the sky offers no information on their actual distances. All celestial objects seem equally far away, as if fixed onto the inside of a sphere with a large but unknown radius, 
which appears to rotate westward overhead; meanwhile, Earth underfoot seems to remain still. For purposes of spherical astronomy, which is concerned only with the directions to celestial objects, it makes no difference if this is actually the case or if it is Earth that is rotating while the celestial sphere is stationary.


The celestial sphere can be considered to be infinite in radius. This means any point within it, including that occupied by the observer, can be considered the center. It also means that all parallel lines, be they millimetres apart or across the Solar System from each other, will seem to intersect the sphere at a single point, analogous to the vanishing point of graphical perspective. 
All parallel planes will seem to intersect the sphere in a coincident great circle 
(a ""vanishing circle"").


Conversely, observers looking toward the same point on an infinite-radius celestial sphere will be looking along parallel lines, and observers looking toward the same great circle, along parallel planes. On an infinite-radius celestial sphere, all observers see the same things in the same direction.


For some objects, this is over-simplified. Objects which are relatively near to the observer (for instance, the Moon) will seem to change position against the distant celestial sphere if the observer moves far enough, say, from one side of planet Earth to the other. This effect, known as parallax, can be represented as a small offset from a mean position. The celestial sphere can be considered to be centered at the Earth's center, the Sun's center, or any other convenient location, and offsets from positions referred to these centers can be calculated.


In this way, astronomers can predict geocentric or heliocentric positions of objects on the celestial sphere, without the need to calculate the individual geometry of any particular observer, and the utility of the celestial sphere is maintained. Individual observers can work out their own small offsets from the mean positions, if necessary. In many cases in astronomy, the offsets are insignificant.


The celestial sphere can thus be thought of as a kind of astronomical shorthand, and is applied very frequently by astronomers. For instance, the Astronomical Almanac for 2010 lists the apparent geocentric position of the Moon on January 1 at 00:00:00.00 Terrestrial Time, in equatorial coordinates, as right ascension 6h 57m 48.86s, declination +23° 30' 05.5"". Implied in this position is that it is as projected onto the celestial sphere; any observer at any location looking in that direction would see the ""geocentric Moon"" in the same place against the stars. For many rough uses (e.g. calculating an approximate phase of the Moon), this position, as seen from the Earth's center, is adequate.


For applications requiring precision (e.g. calculating the shadow path of an eclipse), the Almanac gives formulae and methods for calculating the topocentric coordinates, that is, as seen from a particular place on the Earth's surface, based on the geocentric position. This greatly abbreviates the amount of detail necessary in such almanacs, as each observer can handle their own specific circumstances.


Celestial spheres (or celestial orbs) were envisioned to be perfect and divine entities initially from Greek astronomers such as Aristotle (384 B.C to 322 B.C). The Greek philosopher, Aristotle, composed a set of principles called Aristotelian physics that outlined the natural order and structure of the world. Like other Greek astronomers, Aristotle also thought the ""...celestial sphere as the frame of reference for their geometric theories of the motions of the heavenly bodies""(Olser, pg. 14). With Aristotle's adoption of Eudoxus' theory, Aristotle had described celestial bodies within the Celestial sphere to be filled with pureness, perfect and quintessence (the fifth element that was known to be divine and purity according to Aristotle). Significantly, Aristotle deemed the Sun, Moon, planets and the fixed stars to be perfectly concentric spheres that is divided into two regions; the sublunary region, and the superlunary region. Aristotle had asserted that these bodies (in the superlunary region) are perfect and cannot be corrupted by any of the four elements; fire, water, air, and earth. Corruptible elements were only contained in the sublunary region and incorruptible elements were in the superlunary region of Aristotle's geocentric model. Aristotle had the notion the behavior of celestial orbs must move in celestial motion (a perfect circular motion) that goes on for eternity. He also argued that the behavior and property follows strictly to a principle of natural place where the quintessence element only moves freely of divine will while other elements; fire, air, water and earth are corruptible to change and imperfection. Aristotle's key concepts rely on the nature of the five elements distinguishing the Earth and the Heavens in the astronomical reality with applying Eudoxus' model to define the spheres to be physically real.


Numerous discoveries from Aristotle and Eudoxus (approximately 395 B.C. to 337 B.C.) have sparked differences in both of their models and sharing similar properties simultaneously. Aristotle and Eudoxus claimed two different counts of spheres in the heavens. According to Eudoxus, there were only 27 spheres in the heavens while there are 55 spheres in Aristotle's model. Eudoxus attempts to mathematically construct his model from a treatise known as On the velocities (translated from Greek to English) and asserted the shape of the hippopede or lemniscate to be associated with the planetary retrogression. Aristotle emphasized the speed of the celestial orbs are unchanging like the heavens while Eudoxus emphasizes that the orbs are in a perfect geometrical shape. Eudoxus 's spheres would produce undesirable motions to the lower region of the planets while Aristotle introduced unrollers between each set of active spheres to counteract the motions of the outer set, or else the outer motions will be transferred to the outer planets. Aristotle would later observe ""..the motions of the planets by using the combinations of nested spheres and circular motions in creative ways, but further observations kept undoing their work"" (Olser pg. 15).


Aside from Aristotle and Eudoxus, Empedocles gives an explanation that the motion of the heavens, moving about it at divine (relatively high) speed that puts Earth in a stationary position due to the circular motion preventing the downward movement from natural causes. Aristotle criticized Empedocles' case as he argued that all heavy objects go towards Earth and not the whirl itself coming to Earth. He ridiculed and claimed the Empedocles' statement to be extremely absurd. Anything that defies the motion of natural place and the unchanging heavens (including the celestial spheres would be immediately be criticized from Aristotle).


These concepts are important for understanding celestial coordinate systems, frameworks for measuring the positions of objects in the sky. Certain reference lines and planes on Earth, when projected onto the celestial sphere, form the bases of the reference systems. These include the Earth's equator, axis, and orbit. At their intersections with the celestial sphere, these form the celestial equator, the north and south celestial poles, and the ecliptic, respectively. As the celestial sphere is considered arbitrary or infinite in radius, all observers see the celestial equator, celestial poles, and ecliptic at the same place against the background stars.


From these bases, directions toward objects in the sky can be quantified by constructing celestial coordinate systems. Similar to geographic longitude and latitude, the equatorial coordinate system specifies positions relative to the celestial equator and celestial poles, using right ascension and declination. The ecliptic coordinate system specifies positions relative to the ecliptic (Earth's orbit), using ecliptic longitude and latitude. Besides the equatorial and ecliptic systems, some other celestial coordinate systems, like the galactic coordinate system, are more appropriate for particular purposes.


The ancients assumed the literal truth of stars attached to a celestial sphere, revolving about the Earth in one day, and a fixed Earth. 
The Eudoxan planetary model, on which the Aristotelian and Ptolemaic models were based, was the first geometric explanation for the ""wandering"" of the classical planets. The outermost of these ""crystal spheres"" was thought to carry the fixed stars. Eudoxus used 27 concentric spherical solids to answer Plato's challenge: ""By the assumption of what uniform and orderly motions can the apparent motions of the planets be accounted for?""


A celestial sphere can also refer to a physical model of the celestial sphere or celestial globe.
Such globes map the constellations on the outside of a sphere, resulting in a mirror image of the constellations as seen from Earth. The oldest surviving example of such an artifact is the globe of the Farnese Atlas sculpture, a 2nd-century copy of an older (Hellenistic period, ca. 120 BCE) work.


Observers on other worlds would, of course, see objects in that sky under much the same conditions – as if projected onto a dome. Coordinate systems based on the sky of that world could be constructed. These could be based on the equivalent ""ecliptic"", poles and equator, although the reasons for building a system that way are as much historic as technical.",5,8 April 2002, 7 September 2021,361,1,1
2467812,Preparatory school,https://en.wikipedia.org/wiki/Preparatory_school,https://en.wikipedia.org/w/index.php?title=Preparatory_school&action=info,Preparatory school or prep school may refer to:,9,16 August 2005, 30 August 2021,83,1,1
19252617,Kevin Downes,https://en.wikipedia.org/wiki/Kevin_Downes,https://en.wikipedia.org/w/index.php?title=Kevin_Downes&action=info,"Kevin Downes (born September 21, 1972) is an American actor, writer, producer, director, and co-founder and Chief of Production and Distribution of Kingdom Story Company. Downes grew up in Visalia, five hours north of Los Angeles. Many of the Christian films he participated in were shot there.


He has over 15 years' writing, directing, acting and producing experience, much of it in the faith-based market. His vision is to produce high quality motion pictures to share strong messages of hope, faith and love that come through a personal relationship with God through Jesus Christ. The film Mercy Streets which he produced was nominated for the Best Family Film Award.


Kevin lives in Visalia, California with his wife Catherine and dog Darby.
Kevin Downes is the younger brother of producer Bobby Downes who is the founder and CEO of ChristianCinema.com. In 2003, Kevin wrote, produced, directed and starred in Six: The Mark Unleashed opposite Stephen Baldwin, Eric Roberts, David A. R. White and Jeffrey Dean Morgan. The film was released wide in June 2004.


In 2011, Kevin starred in the film Courageous, directed by Alex Kendrick.


In 2018, he started Kingdom Story Company along with the Erwin Brothers.


This article about a United States film actor born in the 1970s is a stub. You can help Wikipedia by expanding it.

This article about an American film producer is a stub. You can help Wikipedia by expanding it.",0,9 September 2008, 20 September 2021,125,8,1
38723626,Pat Skerry,https://en.wikipedia.org/wiki/Pat_Skerry,https://en.wikipedia.org/w/index.php?title=Pat_Skerry&action=info,"Patrick Joseph Skerry (born January 21, 1970) is the head coach of the Towson University Tigers men's basketball team.


Skerry played collegiate basketball at Tufts University where he set the school record for career assists (634) and single-season assists (198).


After graduation, Skerry joined his alma mater's coaching staff, where he spent three seasons before moving on to Stonehill College for the 1995–96 season. A year later he took his first head coaching job at Curry College at the age of 26. In two seasons at the helm of the Colonials, Skerry compiled a 24–25 record.


In 1998, Skerry jumped to Northeastern University as an assistant coach for two seasons, before moving on to William & Mary (2000–03), College of Charleston (2003–05), University of Rhode Island (2005–08), Providence College (2008–10), and Pittsburgh (2010–11) before accepting the head coaching job at Towson, replacing Pat Kennedy.


Skerry's first season in charge of the Tigers saw the team go 1–31, with the lone win coming on January 28, 2012 against UNC-Wilmington, snapping the team's NCAA record 41-game losing streak. One year later, Towson went 18–13, finishing second in the Colonial Athletic Association completing the biggest single season improvement in NCAA basketball history. Despite the high finish, the Tigers were ineligible for the CAA Tournament and NCAA Tournament due to low APR scores that were earned under the previous coach, Pat Kennedy.


      National champion  
      Postseason invitational champion  

      Conference regular season champion   
      Conference regular season and conference tournament champion

      Division regular season champion
      Division regular season and conference tournament champion

      Conference tournament champion",0,6 March 2013, 27 January 2021,70,0,0
52985517,Territorial issues between Estonia and Russia,https://en.wikipedia.org/wiki/Territorial_issues_between_Estonia_and_Russia,https://en.wikipedia.org/w/index.php?title=Territorial_issues_between_Estonia_and_Russia&action=info,"Territorial issues between Estonia and Russia have clouded Estonia–Russia relations. After the dissolution of the Soviet Union, Estonia had hoped for the return of more than 2,000 square kilometers of territory annexed by Russia after World War II in 1945. The annexed land with Russian majority had been within the borders Estonia and Russia agreed on in the 1920 Tartu Peace Treaty. However, the Boris Yeltsin government disavowed any responsibility for acts committed by the Soviet Union.


After the collapse of the Russian Empire due to the October Revolution, territorial delineation between Soviet Russia and the newly independent Estonia was determined by the 1920 Tartu peace treaty. On the onset of World War II, Estonia was annexed by the Soviet Union in the form of the Estonian SSR, as part of the overall occupation of the Baltic States. Soon it was overtaken by the Nazi Germany and re-occupied by the Soviet Union for the period of 1944–1991.


After Estonia regained its independence from the Soviet Union following the Singing Revolution, Estonian and Russian negotiators reached a technical agreement on the Estonia–Russia border in December 1996, with the border remaining substantially the same as the one drawn by Joseph Stalin, with some minor adjustments. The border treaty was initialed in 1999. On 18 May 2005 Estonian Foreign Minister Urmas Paet and his Russian colleague Sergei Lavrov signed in Moscow the “Treaty between the Government of the Republic of Estonia and the Government of the Russian Federation on the Estonian-Russian border” and the “Treaty between the Government of the Republic of Estonia and the Government of the Russian Federation on the Delimitation of the Maritime Zones in the Gulf of Finland and the Gulf of Narva”. The Riigikogu (Estonian Parliament) ratified the treaties on 20 June 2005, with a reference to the 1920 Tartu Peace Treaty in the preamble of the ratification law, placing the new border treaty in context of internal Estonian law as amending the original 1920 border, objected by Russia. The President of Estonia, Arnold Rüütel proclaimed the treaties on 22 June 2005. As the preamble of the ratification act mentioned the 1920 Tartu peace treaty, Russia interpreted this as in theory giving Estonia a right to claim some territories of Pskov and Leningrad Oblast of Russia later.  As proposed by the Russian Government on 13 August 2005, on 31 August 2005 Russian President Vladimir Putin gave a written order to the Russian Foreign Ministry to notify the Estonian side of “Russia’s intention not to participate in the border treaties between the Russian Federation and the Republic of Estonia”. On 6 September 2005, the Foreign Ministry of the Russian Federation sent Estonia a note, in which Russia informed that it did not intend to become a party to the border treaties between Estonia and Russia and did not consider itself bound by the circumstances concerning the object and the purposes of the treaties. Negotiations were reopened in 2012 and the Treaty was signed in February 2014. Ratification is pending on both sides, with some Estonian MPs and officials opposing the ratification of the treaty. Their position is that this treaty contradicts the 1920 treaty and all decisions of the Estonian SSR were declared invalid in 1991.",0,25 January 2017, 7 August 2021,18,0,0
26578547,"Arkville, New York","https://en.wikipedia.org/wiki/Arkville,_New_York","https://en.wikipedia.org/w/index.php?title=Arkville,_New_York&action=info","Arkville is a hamlet in the Town of Middletown, Delaware County, New York, United States. It is located along New York State Route 28, one  mile north of the village of Margaretville in the western Catskill Mountains. It has the ZIP code 12406.


Arkville is built either on or very close to the site of an old Lenape village called Pakatagkan.


The main office of the Catskill Center for Conservation and Development is located in the Erpf House along Route 28. The hamlet straddles the Catskill Park Blue Line, which moves from the former Ulster and Delaware Railroad tracks to Dry Brook and then the East Branch of the Delaware River a short distance to the west.


This climatic region is typified by large seasonal temperature differences, with warm to hot (and often humid) summers and cold (sometimes severely cold) winters.  According to the Köppen Climate Classification system, Arkville has a humid continental climate, abbreviated ""Dfb"" on climate maps.",0,16 March 2010, 14 September 2021,25,1,1
28088227,1994 NCAA Division I-A football rankings,https://en.wikipedia.org/wiki/1994_NCAA_Division_I-A_football_rankings,https://en.wikipedia.org/w/index.php?title=1994_NCAA_Division_I-A_football_rankings&action=info,"Two human polls comprised the 1994 National Collegiate Athletic Association (NCAA) Division I-A football rankings. Unlike most sports, college football's governing body, the NCAA, does not bestow a national championship, instead that title is bestowed by one or more different polling agencies. There are two main weekly polls that begin in the preseason—the AP Poll and the Coaches' Poll.


Auburn, Texas A&M, and Washington were ineligible to be ranked in the Coaches' Poll due to NCAA sanctions.",0,19 July 2010, 17 January 2021,58,0,0
37887150,Poul F. Joensen,https://en.wikipedia.org/wiki/Poul_F._Joensen,https://en.wikipedia.org/w/index.php?title=Poul_F._Joensen&action=info,"Poul Frederik Joensen (best known as Poul F.) (18 November 1898 in Sumba – 27 June 1970 in Froðba) was a Faroese poet and writer.


He is best known for his poems, both the satirical ones and his love poems. He worked as a school teacher for some years, but most of his life he worked as a sheep farmer and a labourer.


Poul F.'s work include translated poems by Heinrich Heine and Robert Burns. His first collection of poems Gaman og álvara (Novelty and severity) was published in 1924; it was the second collection of poetry by a Faroese poet published in the Faroe Islands. It was published by Felagið Varðin with Richard Long. The first collection of poems in the Faroese language was published in 1914, these poems were written by Janus Djurhuus, the title was Yrkingar which means Poems. He was awarded with the Faroese Literature Prize in 1963.


Poul (Pól) F. Joensen was the son of Daniel Jacob Joensen from Hørg, Sumba and Anna Sofia, born Langaard, both came from the village of Sumba. Later he married Julia Mortensen from Froðba.


When Poul F. was 14 years old he tried to become a seaman as did many of his friends. He was a fisherman for one year. He wished to continue with life at sea and had plans to go fishing aboard the fishing vessel Robert Miller, but his parents wouldn't permit him to do so. Instead they sent him to Tórshavn, to study to become a teacher in public schools. Later it turned out that if he had gone fishing on Robert Miller on that trip, it would have been the last thing that he did, and no one would have known about his poetry ever. Robert Miller never returned from that trip in March 1914, and all the men onboard lost their lives. Poul F. Joensen graduated as a school teacher in 1917. He was teaching from 1919–27 in Froðba and again 1947–49 in Lopra; both villages are on Suðuroy. After teaching for eight years he decided to give up teaching and live as a writer and a sheep farmer and by working various jobs.


The Faroese singer and composer Hanus G. Johansen has released two albums with poems by Poul F. Joensen. The first album, Gaman og álvara was released in 1988, the second in 2012. Gaman og álvara was first released as a vinyl LP and cassette, but some years later in 2008 it was released as a CD.


On 17 June 2007 a memorial stone was erected in Froðba by Lions Club Suðuroy, near his home. The stone was taken from a hillside in Sumba, the village where he was born and grew up. A metal plate with a portrait of Poul F. Joensen was placed on the stone, made by Nordisk Metalkunst of Kalsing in Denmark. Árni Ziska made the text and put the plate into place. Trúgvi Gudmundarson made the stone base beneath the memorial stone.",0,10 December 2012, 6 December 2020,51,0,0
47930728,Volcano-sedimentary,https://en.wikipedia.org/wiki/Volcano-sedimentary,https://en.wikipedia.org/w/index.php?title=Volcano-sedimentary&action=info,Volcano-sedimentary may refer to:,2,25 September 2015, 21 May 2020,4,0,0
55670149,David Bote,https://en.wikipedia.org/wiki/David_Bote,https://en.wikipedia.org/w/index.php?title=David_Bote&action=info,"David C. Bote (born April 7, 1993) is an American professional baseball infielder for the Chicago Cubs of Major League Baseball (MLB). He made his MLB debut in 2018.


Bote attended Erie High School in Erie, Colorado as a freshman and later transferred to Faith Christian Academy in Arvada, Colorado. As a senior in 2011, Bote led Faith Christian to the 3A Colorado state title in baseball. Bote enrolled at Liberty University to play college baseball as a walk-on, but after a semester, transferred to Neosho County Community College in Kansas. During his lone collegiate season, he hit .419. He was drafted by the Chicago Cubs in the 18th round of the 2012 Major League Baseball draft.


After Bote signed with the Cubs for $100,000 plus college tuition, he was assigned to the Arizona League Cubs where he batted .232 with one home run, 14 RBIs and seven doubles in 38 games. He spent 2013 with the Daytona Cubs, Kane County Cougars, and Boise Hawks, posting a combined .227 batting average with seven home runs and 38 RBIs in 90 total games between the three teams, and 2014 with Kane County, Boise, and the Iowa Cubs, compiling a combined .235 batting average with four home runs and 40 RBIs in 99 games. In 2015, he played for the South Bend Cubs where he slashed .251/.328/384 with six home runs and 41 RBIs, and in 2016, he spent time with Iowa, the Tennessee Smokies, and the Myrtle Beach Pelicans, batting a combined .328 with seven home runs and 45 RBIs with an .892 OPS.


In 2017, Bote played for the Tennessee Smokies where he was named a Southern League All-Star. After the season, he played in the Arizona Fall League and was selected to play in the Fall Stars Game. The Cubs added him to their 40-man roster after the season. In the minor leagues, Bote had played at every position except catcher.


Bote made his major league debut on April 21, 2018, taking the place of Ben Zobrist who was placed on the disabled list. Bote filled in for a week at third for an injured Kris Bryant. He had 19 at bats with five hits, five RBIs, one stolen base and a batting average of .263 before being sent back to the Iowa Cubs. On July 26, 2018, Bote hit a game-tying, two-run home run with one out in the bottom of the ninth inning against Arizona Diamondbacks pitcher Brad Boxberger, which was immediately followed by a walk-off solo home run by teammate Anthony Rizzo. On August 12, 2018, Bote hit a pinch hit, two-out, two-strike 9th inning walk-off grand slam off Washington Nationals pitcher Ryan Madson to give his team a one-run victory, which had not been done since Roger Freed in 1979, giving the Cubs a 4–3 victory and a two-out-of-three series win, marking the second time in Major League Baseball history that a player hit a walk-off grand slam to win by a score of 4–3. On August 24, 2018, Bote hit his 2nd career walk-off home run off Cincinnati Reds pitcher Raisel Iglesias. The Cubs won that game 3–2.


On April 3, 2019, Bote signed a 5-year, $15 million extension with the Cubs. He recorded his third walk-off hit, a single off of Arizona Diamondbacks pitcher Archie Bradley on April 21, 2019. On June 5, Bote had a four-hit, seven RBI game in a 9–8 win against the Colorado Rockies. He finished the 2019 season slashing .257/.362/.422 with 11 home runs and 41 RBIs over 127 games.


In the pandemic-shortened 2020 season, Bote slashed .200/.303/.408 with 7 home runs and 29 RBIs in 45 games.


Bote is married to Rachel Bote, his high school sweetheart. The married couple have three children. Bote is a Christian. Bote initially wanted to become a pastor after high school. He grew up a Colorado Rockies fan.",1,30 October 2017, 26 September 2021,270,4,1
